City,Location,Bedrooms,Price_INR,Area_sqft,Price_per_sqft,Estimated_Monthly_Rent,Gross_Rental_Yield_%,Annual_Rent,Annual_Expenses,NOI,Cap_Rate_%,Down_Payment,Loan_Amount,Monthly_EMI,Annual_EMI,Annual_Cash_Flow,Cash_on_Cash_%,ROI_5_Year_%
Kothrud,Alkapuri Society,4,15500000,,20210,62000,4.8,744000,260400,483600,3.12,3100000,12400000,111566,1338792,-855192,-27.59,-137.93
Baner,,4,19200000,,16890,76800,4.8,921600,322560,599040,3.12,3840000,15360000,138198,1658375,-1059335,-27.59,-137.93
Wakad,Bhumkar Nagar,3,8500000,,,34000,4.8,408000,142800,265200,3.12,1700000,6800000,61181,734176,-468976,-27.59,-137.93
Baner,,4,19300000,,16900,77200,4.8,926400,324240,602160,3.12,3860000,15440000,138918,1667012,-1064852,-27.59,-137.93
Ravet,,3,7597000,,,30388,4.8,364656,127630,237026,3.12,1519400,6077600,54682,656181,-419155,-27.59,-137.93
Baner,,3,27500000,,17420,110000,4.8,1320000,462000,858000,3.12,5500000,22000000,197940,2375277,-1517277,-27.59,-137.93
Chinchwad,Udhyog Nagar,3,16100000,,12710,64400,4.8,772800,270480,502320,3.12,3220000,12880000,115885,1390616,-888296,-27.59,-137.93
Ravet,,3,7952000,,9980,31808,4.8,381696,133594,248102,3.12,1590400,6361600,57237,686844,-438741,-27.59,-137.93
Manjari Budruk,,3,7391000,,9770,29564,4.8,354768,124169,230599,3.12,1478200,5912800,53199,638388,-407789,-27.59,-137.93
Lohegaon,Kuthwad Colony,2.5,6310000,,9400,25240,4.8,302880,106008,196872,3.12,1262000,5048000,45418,545018,-348146,-27.59,-137.93
Baner,Mohan Nagar Co-Op Society,3,11800000,,14050,47200,4.8,566400,198240,368160,3.12,2360000,9440000,84934,1019210,-651050,-27.59,-137.93
Dhanori,Anand Park Nagar,3,8257000,,10910,33028,4.8,396336,138718,257618,3.12,1651400,6605600,59432,713188,-455569,-27.59,-137.93
Kothrud,Gujrat Colony,3,15300000,,18100,61200,4.8,734400,257040,477360,3.12,3060000,12240000,110126,1321517,-844157,-27.59,-137.93
Dhanori,Laxmi Nagar,2,6294000,,9350,25176,4.8,302112,105739,196373,3.12,1258800,5035200,45303,543636,-347263,-27.59,-137.93
Baner,Baner Gaon,4,22900000,,,91600,4.8,1099200,384720,714480,3.12,4580000,18320000,164830,1977958,-1263478,-27.59,-137.93
Wagholi,,4,11000000,,,44000,4.8,528000,184800,343200,3.12,2200000,8800000,79176,950111,-606911,-27.59,-137.93
Bavdhan,,3,11400000,,13770,45600,4.8,547200,191520,355680,3.12,2280000,9120000,82055,984660,-628980,-27.59,-137.93
Lohegaon,Sant Nagar,3,8000000,,,32000,4.8,384000,134400,249600,3.12,1600000,6400000,57582,690990,-441390,-27.59,-137.93
