City,Location,Bedrooms,Price_INR,Area_sqft,Price_per_sqft,Estimated_Monthly_Rent,Gross_Rental_Yield_%,Annual_Rent,Annual_Expenses,NOI,Cap_Rate_%,Down_Payment,Loan_Amount,Monthly_EMI,Annual_EMI,Annual_Cash_Flow,Cash_on_Cash_%,ROI_5_Year_%
Hinjawadi,,4,12500000,,,50000,4.8,600000,210000,390000,3.12,2500000,10000000,89973,1079671,-689671,-27.59,-137.93
Camp,,4,14700000,,21070,58800,4.8,705600,246960,458640,3.12,2940000,11760000,105808,1269693,-811053,-27.59,-137.93
Moshi,Borhade Wadi,3,7417000,,,29668,4.8,356016,124606,231410,3.12,1483400,5933600,53386,640634,-409223,-27.59,-137.93
Moshi,MIDC,2,4818000,,10410,19272,4.8,231264,80942,150322,3.12,963600,3854400,34679,416148,-265827,-27.59,-137.93
Undri,Atur Nagar,2,3481000,,,13924,4.8,167088,58481,108607,3.12,696200,2784800,25056,300667,-192060,-27.59,-137.93
Moshi,Bankar Vasti,3,9614000,,,38456,4.8,461472,161515,299957,3.12,1922800,7691200,69200,830397,-530440,-27.59,-137.93
Wagholi,,3,8909000,,12570,35636,4.8,427632,149671,277961,3.12,1781800,7127200,64125,769503,-491542,-27.59,-137.93
Hinjawadi Phase 2,,3,9090000,,,36360,4.8,436320,152712,283608,3.12,1818000,7272000,65428,785137,-501529,-27.59,-137.93
Warje,Atul Nagar,3,9443000,,12150,37772,4.8,453264,158642,294622,3.12,1888600,7554400,67969,815627,-521005,-27.59,-137.93
Kalyani Nagar,Nilanjali Society,4,29900000,,27430,119600,4.8,1435200,502320,932880,3.12,5980000,23920000,215214,2582573,-1649693,-27.59,-137.93
Baner,,4.5,41700000,,19290,166800,4.8,2001600,700560,1301040,3.12,8340000,33360000,300149,3601783,-2300743,-27.59,-137.93
Ambegaon Budruk,Vishnupuram Colony,4,7800000,,,31200,4.8,374400,131040,243360,3.12,1560000,6240000,56143,673715,-430355,-27.59,-137.93
Kharadi,Rakshak Nagar,3,10400000,,13490,41600,4.8,499200,174720,324480,3.12,2080000,8320000,74857,898286,-573806,-27.59,-137.93
